,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth,manual label,name filter,google filter,filter prediction
954,fen-tay-nil,fentanyl,False,False,False,,-1,False,True,False,False
955,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
956,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
957,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
958,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
959,effentora,fentanyl,False,False,True,,1,True,True,True,True
960,lazanda,fentanyl,fentanyl,True,True,,1,True,True,True,True
961,insys,fentanyl,False,False,True,,2,False,True,True,True
962,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
963,fental,fentanyl,albendazole,False,True,,1,True,True,True,True
964,fentoxy,fentanyl,False,False,True,,4,False,True,True,True
965,fentayl,fentanyl,fentanyl,True,True,,1,True,True,True,True
966,fentynal,fentanyl,fentanyl,True,True,,1,True,True,True,True
967,fentyne,fentanyl,False,False,False,,-1,False,True,False,False
968,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
969,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
970,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
971,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
972,jukusan,fentanyl,False,False,False,,-1,False,True,False,False
973,lentan,fentanyl,False,False,False,,-1,False,True,False,False
974,sentana,fentanyl,False,False,False,,-1,False,True,False,False
975,fenantan,fentanyl,False,False,False,,-1,False,True,False,False
976,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
977,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
978,fentynyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
979,fentanilo,fentanyl,False,False,True,,1,True,True,True,True
980,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
981,fentanyl_derivatives,fentanyl,False,True,True,,1,False,True,True,True
982,related_fentanyl_analogue,fentanyl,False,True,True,,1,False,True,True,True
983,fentanyl_class_substances,fentanyl,False,True,True,,4,?,True,True,True
984,jwh-018,fentanyl,False,False,False,,-1,False,True,False,False
985,"cp-47,497",fentanyl,False,False,False,,-1,False,True,False,False
986,ur-144,fentanyl,False,False,False,,-1,False,True,False,False
987,xlr-11,fentanyl,False,False,False,,-1,False,True,False,False
988,durogesic,fentanyl,fentanyl,True,True,,2,True,True,True,True
989,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
990,subs,fentanyl,False,False,False,,-1,False,True,False,False
991,transdermal,fentanyl,False,False,False,,-1,False,True,False,False
992,lozenges,fentanyl,False,False,True,,8,?,True,True,True
993,pills,fentanyl,False,False,False,,-1,False,True,False,False
994,intranasal,fentanyl,False,False,False,,-1,False,True,False,False
995,intramuscular,fentanyl,False,False,False,,-1,False,True,False,False
996,rectal,fentanyl,False,False,False,,-1,False,True,False,False
997,lenitrex,fentanyl,False,False,False,,-1,False,True,False,False
998,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
999,fyntanyl,fentanyl,False,False,True,,1,True,True,True,True
1000,fentolouges,fentanyl,False,False,False,,-1,False,True,False,False
1001,fenanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
1002,fenatyl,fentanyl,dicyclomine,False,True,,1,True,True,True,True
1003,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
1004,lofentanil,fentanyl,lofentanil,False,True,,1,False,False,True,False
1005,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
1006,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
1007,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
1008,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
1009,onsolis,fentanyl,False,False,True,,1,True,True,True,True
1010,subsys,fentanyl,fentanyl,True,True,,3,True,True,True,True
1011,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
1012,sulf,fentanyl,False,False,False,,-1,False,True,False,False
1013,transdermal_fentanyl,fentanyl,False,True,True,,1,True,True,True,True
1014,fentanyl_patches,fentanyl,False,True,True,,1,True,True,True,True
1015,fentinel,fentanyl,False,False,True,,1,True,True,True,True
1016,fentanal,fentanyl,fentanyl,True,True,,1,True,True,True,True
1017,fentanat,fentanyl,False,False,False,,-1,False,True,False,False
1018,fentane,fentanyl,False,False,False,,-1,True,True,False,False
1019,fentaq,fentanyl,False,False,False,,-1,False,True,False,False
1020,fentayl,fentanyl,fentanyl,True,True,,1,True,True,True,True
1021,fentanex,fentanyl,False,False,False,,-1,True,True,False,False
1022,fentanyl_analogue,fentanyl,False,True,True,,1,False,True,True,True
1023,fentanion,fentanyl,False,False,False,,-1,False,True,False,False
1024,carfentanil,fentanyl,carfentanil,False,True,,4,False,False,True,False
1025,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
1026,quiqly,fentanyl,False,False,False,,-1,False,True,False,False
1027,qiiqly,fentanyl,False,False,False,,-1,False,True,False,False
1028,kwikly,fentanyl,False,False,False,,-1,False,True,False,False
1029,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
1030,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
1031,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
1032,sufenta,fentanyl,sufentanil,False,True,,2,False,True,True,True
1033,belbuca,fentanyl,buprenorphine,False,False,,-1,False,True,False,False
1034,fugicta,fentanyl,False,False,False,,-1,False,True,False,False
1035,fentlin,fentanyl,False,False,False,,-1,False,True,False,False
1036,fentañol,fentanyl,False,False,False,,-1,False,True,False,False
1037,fentanile,fentanyl,False,False,True,,1,True,True,True,True
1038,fentanillo,fentanyl,False,False,True,,1,True,True,True,True
1039,fentanol,fentanyl,fentanyl,True,True,,1,True,True,True,True
1040,fentanílico,fentanyl,False,False,False,,-1,?,True,False,False
1041,fentaniloide,fentanyl,False,False,False,,-1,?,True,False,False
1042,fentanils,fentanyl,False,False,True,,1,True,True,True,True
1043,fentyll,fentanyl,False,False,False,,-1,False,True,False,False
1044,fentynl,fentanyl,dicyclomine,False,True,,1,True,True,True,True
1045,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
1046,lazanda,fentanyl,fentanyl,True,True,,1,True,True,True,True
1047,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
1048,fentolin,fentanyl,False,False,True,,1,False,True,True,True
1049,fentril,fentanyl,False,False,False,,-1,False,True,False,False
1050,fentris,fentanyl,False,False,False,,-1,False,True,False,False
1051,fentryn,fentanyl,False,False,False,,-1,False,True,False,False
1052,fentyne,fentanyl,False,False,False,,-1,False,True,False,False
1053,fanellon,fentanyl,False,False,False,,-1,False,True,False,False
1054,fenotral,fentanyl,False,False,False,,-1,False,True,False,False
1055,fetanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
1056,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
1057,dymelor,fentanyl,False,False,False,,-1,False,True,False,False
1058,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
1059,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
1060,fentanest,fentanyl,False,False,True,,1,True,True,True,True
1061,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
1062,jentadueto,fentanyl,metformin,False,False,,-1,False,True,False,False
1063,lofentanil,fentanyl,lofentanil,False,True,,1,False,False,True,False
1064,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
1065,intraoperative,fentanyl,False,False,False,,-1,False,True,False,False
1066,perioperative,fentanyl,False,False,False,,-1,False,True,False,False
1067,postoperative,fentanyl,False,False,False,,-1,False,True,False,False
1068,rewarming,fentanyl,False,False,False,,-1,False,True,False,False
1069,anesthesiologic,fentanyl,False,False,False,,-1,False,True,False,False
1070,postdural,fentanyl,False,False,False,,-1,False,True,False,False
1071,analgesic,fentanyl,False,False,True,,6,True,True,True,True
1072,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
1073,fentrade,fentanyl,False,False,False,,-1,False,True,False,False
1074,diclofenac,fentanyl,diclofenac,False,False,,-1,False,False,False,False
1075,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
1076,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
1077,dsuvin,fentanyl,False,False,False,,-1,False,True,False,False
1078,fentanyl-lacetam,fentanyl,False,False,False,,-1,False,True,False,False
1079,fenanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
1080,fentanyl_hcl,fentanyl,False,True,True,,1,True,True,True,True
1081,fentanyl_citrate,fentanyl,fentanyl,True,True,,1,True,True,True,True
1082,“blueberries”_(street_name),fentanyl,False,False,False,,-1,False,True,False,False
1083,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
1084,fenting,fentanyl,False,False,False,,-1,True,True,False,False
1085,lofentanil,fentanyl,lofentanil,False,True,,1,False,False,True,False
1086,fentayln,fentanyl,False,False,True,,1,True,True,True,True
1087,fentaynyl,fentanyl,False,False,True,,1,True,True,True,True
1088,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
1089,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
1090,matrifen,fentanyl,False,False,True,,1,True,True,True,True
1091,dalhavad,fentanyl,False,False,False,,-1,False,True,False,False
1092,innazepam,fentanyl,False,False,False,,-1,False,True,False,False
1093,lofentanil,fentanyl,lofentanil,False,True,,1,False,False,True,False
1094,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
1095,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
1096,fenatyl,fentanyl,dicyclomine,False,True,,1,True,True,True,True
1097,fentinal,fentanyl,fentanyl,True,True,,1,True,True,True,True
1098,fentynal,fentanyl,fentanyl,True,True,,1,True,True,True,True
1099,fentanalo,fentanyl,False,False,True,,1,True,True,True,True
1100,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
1101,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
1102,fentanyl_citrate,fentanyl,fentanyl,True,True,,1,True,True,True,True
1103,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
1104,recumbent,fentanyl,False,False,False,,-1,False,True,False,False
1105,effentora,fentanyl,False,False,True,,1,True,True,True,True
1106,instanyl,fentanyl,fentanyl,True,True,,3,True,True,True,True
1107,lozenges,fentanyl,False,False,True,,8,?,True,True,True
1108,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
1109,matrinal,fentanyl,False,False,False,,-1,False,True,False,False
1110,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
1111,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
1112,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
1113,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
1114,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
1115,subsys,fentanyl,fentanyl,True,True,,3,True,True,True,True
1116,fentanyl_products,fentanyl,False,True,True,,1,True,True,True,True
1117,fentanyl_patch,fentanyl,fentanyl,True,True,,1,True,True,True,True
1118,fenatyl,fentanyl,dicyclomine,False,True,,1,True,True,True,True
1119,pentanyl,fentanyl,False,False,True,,1,True,True,True,True
1120,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
1121,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
1122,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
1123,alfentanil,fentanyl,alfentanil,False,True,,1,False,False,True,False
1124,carfentanil,fentanyl,carfentanil,False,True,,4,False,False,True,False
1125,fentanest,fentanyl,False,False,True,,1,True,True,True,True
1126,fentalyn,fentanyl,fentanyl,True,True,,1,True,True,True,True
1127,scopolamine,fentanyl,scopolamine,False,False,,-1,False,False,False,False
1128,fentanyl_citrate,fentanyl,fentanyl,True,True,,1,True,True,True,True
1129,codeine,fentanyl,codeine,False,False,,-1,False,False,False,False
1130,dihydrocodeinone,fentanyl,hydrocodone,False,False,,-1,False,True,False,False
1131,sufentanyl,fentanyl,sufentanil,False,True,,2,False,True,True,True
1132,remifentanil,fentanyl,remifentanil,False,True,,1,False,False,True,False
1133,carfentanil,fentanyl,carfentanil,False,True,,4,False,False,True,False
1134,fentynyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
1135,fentanest,fentanyl,False,False,True,,1,True,True,True,True
1136,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
1137,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
1138,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
1139,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
1140,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
1141,lofentanil,fentanyl,lofentanil,False,True,,1,False,False,True,False
1142,fentanyle,fentanyl,False,False,True,,1,True,True,True,True
1143,fentayle,fentanyl,False,False,True,,1,True,True,True,True
1144,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
1145,dorsal,fentanyl,False,False,False,,-1,False,True,False,False
1146,cranial,fentanyl,False,False,False,,-1,False,True,False,False
1147,ventral,fentanyl,False,False,False,,-1,False,True,False,False
1148,cephalad,fentanyl,False,False,False,,-1,False,True,False,False
1149,caudal,fentanyl,False,False,False,,-1,False,True,False,False
1150,rostrocaudal,fentanyl,False,False,False,,-1,False,True,False,False
1151,anterograde,fentanyl,False,False,False,,-1,False,True,False,False
1152,retrograde,fentanyl,False,False,False,,-1,False,True,False,False
1153,trans,fentanyl,False,False,False,,-1,?,True,False,False
1154,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
1155,fendanyl,fentanyl,False,False,True,,1,True,True,True,True
1156,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
1157,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
1158,fentaynl,fentanyl,fentanyl,True,True,,1,True,True,True,True
1159,phentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
1160,fentynal,fentanyl,fentanyl,True,True,,1,True,True,True,True
1161,fentanal,fentanyl,fentanyl,True,True,,1,True,True,True,True
1162,dalcet,fentanyl,False,False,False,,-1,False,True,False,False
1163,fentinal,fentanyl,fentanyl,True,True,,1,True,True,True,True
1164,fentanyls,fentanyl,fentanyl,True,True,,1,True,True,True,True
1165,bupren,fentanyl,False,False,True,,5,False,True,True,True
1166,prec,fentanyl,False,False,False,,-1,False,True,False,False
1167,trans,fentanyl,False,False,False,,-1,?,True,False,False
1168,durages,fentanyl,False,False,False,,-1,False,True,False,False
1169,fentanyl_citrate,fentanyl,fentanyl,True,True,,1,True,True,True,True
1170,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
1171,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
1172,innopran,fentanyl,propranolol,False,False,,-1,False,True,False,False
1173,mylan,fentanyl,False,False,False,,-1,False,True,False,False
1174,npms,fentanyl,False,False,False,,-1,?,True,False,False
1175,soma,fentanyl,carisoprodol,False,False,,-1,False,True,False,False
1176,teva,fentanyl,False,False,False,,-1,True,True,False,False
1177,faram,fentanyl,False,False,False,,-1,False,True,False,False
1178,ratacap,fentanyl,False,False,False,,-1,False,True,False,False
1179,solacen,fentanyl,False,False,False,,-1,False,True,False,False
1180,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
1181,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
1182,ultiva,fentanyl,False,False,True,,2,False,True,True,True
1183,sufentanyl,fentanyl,sufentanil,False,True,,2,False,True,True,True
1184,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
1185,ltram,fentanyl,False,False,False,,-1,False,True,False,False
1186,tramadol,fentanyl,tramadol,False,True,,10,False,False,True,False
1187,oxycodone,fentanyl,oxycodone,False,False,,-1,False,False,False,False
1188,hydrocodone,fentanyl,hydrocodone,False,False,,-1,False,False,False,False
1189,codeine,fentanyl,codeine,False,False,,-1,False,False,False,False
1190,morphine,fentanyl,morphine,False,False,,-1,False,False,False,False
1191,fentynol,fentanyl,False,False,True,,1,True,True,True,True
1192,fentolol,fentanyl,False,False,False,,-1,False,True,False,False
1193,fentynol,fentanyl,False,False,True,,1,True,True,True,True
1194,fenatol,fentanyl,False,False,True,,1,True,True,True,True
1195,opana,fentanyl,oxymorphone,False,False,,-1,False,True,False,False
1196,fentynol,fentanyl,False,False,True,,1,True,True,True,True
1197,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
1198,fentrisil,fentanyl,False,False,False,,-1,False,True,False,False
1199,fentrinal,fentanyl,False,False,False,,-1,False,True,False,False
1200,fentrol,fentanyl,False,False,False,,-1,False,True,False,False
1201,fentanest,fentanyl,False,False,True,,1,True,True,True,True
1202,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
1203,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
1204,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
1205,fentynal,fentanyl,fentanyl,True,True,,1,True,True,True,True
1206,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
1207,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
1208,fentyllyn,fentanyl,False,False,False,,-1,False,True,False,False
1209,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
1210,carfentanil,fentanyl,carfentanil,False,True,,4,False,False,True,False
1211,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
1212,fentanyl_sulfate,fentanyl,False,True,True,,1,True,True,True,True
1213,fentanoyl,fentanyl,False,False,True,,1,True,True,True,True
1214,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
1215,fent,fentanyl,False,False,True,,2,True,True,True,True
1216,fentanyl_analog,fentanyl,False,True,True,,1,False,True,True,True
1217,fentanyl_derivative,fentanyl,False,True,True,,1,False,True,True,True
1218,fentanyl_related_compound,fentanyl,False,True,True,,5,False,True,True,True
1219,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
1220,fentanyl_hydrochloride,fentanyl,False,True,True,,1,True,True,True,True
1221,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
1222,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
1223,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
1224,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
1225,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
1226,remifentanil,fentanyl,remifentanil,False,True,,1,False,False,True,False
1227,dalgan,fentanyl,False,False,False,,-1,False,True,False,False
1228,fentanyde,fentanyl,False,False,False,,-1,False,True,False,False
1229,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
1230,fentaplix,fentanyl,False,False,False,,-1,False,True,False,False
1231,pentanyl,fentanyl,False,False,True,,1,True,True,True,True
1232,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
1233,suprax,fentanyl,cefixime,False,False,,-1,False,True,False,False
1234,fentanal,fentanyl,fentanyl,True,True,,1,True,True,True,True
1235,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
1236,sequalae,fentanyl,False,False,False,,-1,False,True,False,False
1237,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
1238,fentanyl_citrate,fentanyl,fentanyl,True,True,,1,True,True,True,True
1239,fentanyl_hydrochloride,fentanyl,False,True,True,,1,True,True,True,True
1240,fentanyl_sulfate,fentanyl,False,True,True,,1,True,True,True,True
1241,fentanest,fentanyl,False,False,True,,1,True,True,True,True
1242,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
1243,fastin,fentanyl,phentermine,False,False,,-1,False,True,False,False
1244,strip,fentanyl,False,False,False,,-1,?,True,False,False
1245,troche,fentanyl,False,False,False,,-1,False,True,False,False
1246,tab,fentanyl,potassium_chloride,False,False,,-1,False,True,False,False
1247,transdermal,fentanyl,False,False,False,,-1,False,True,False,False
1248,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
1249,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
1250,subsys,fentanyl,fentanyl,True,True,,3,True,True,True,True
1251,fentanylhydrochloride,fentanyl,False,False,True,,2,True,True,True,True
1252,carfentanil,fentanyl,carfentanil,False,True,,4,False,False,True,False
1253,phenyltoloxamine,fentanyl,False,False,False,,-1,False,True,False,False
1254,bromadol,fentanyl,tramadol,False,False,,-1,False,True,False,False
1255,chapitaje,fentanyl,False,False,False,,-1,False,True,False,False
1256,daleth-3-ol,fentanyl,False,False,False,,-1,False,True,False,False
1257,desmethyl_fentanyl,fentanyl,False,True,True,,1,False,True,True,True
1258,dictanyl,fentanyl,False,False,False,,-1,False,True,False,False
1259,ethyl_fentanyl,fentanyl,False,True,True,,1,False,True,True,True
1260,3-methylthiofentanyl,fentanyl,False,False,True,,1,False,True,True,True
1261,ocfentanyl,fentanyl,alfentanil,False,False,,-1,False,True,False,False
1262,p-fluorofentanyl,fentanyl,p-fluorofentanyl,False,True,,2,False,False,True,False
1263,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
1264,fentanyl_hydrochloride,fentanyl,False,True,True,,1,True,True,True,True
1265,fentanyl_citrate,fentanyl,fentanyl,True,True,,1,True,True,True,True
1266,fentanyl_tartrate,fentanyl,False,True,True,,1,True,True,True,True
1267,fentanyl_oxalate,fentanyl,False,True,True,,1,True,True,True,True
1268,fentanyl_chloride,fentanyl,False,True,True,,1,True,True,True,True
1269,fentanyl_bromide,fentanyl,False,True,True,,1,True,True,True,True
1270,fentanyl_iodide,fentanyl,False,True,True,,2,True,True,True,True
1271,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
1272,lentan,fentanyl,False,False,False,,-1,False,True,False,False
1273,nefentanyl,fentanyl,False,False,False,,-1,True,True,False,False
1274,ricinn,fentanyl,False,False,False,,-1,False,True,False,False
1275,suboxine,fentanyl,naloxone,False,True,,8,False,True,True,True
1276,sufentanyl,fentanyl,sufentanil,False,True,,2,False,True,True,True
1277,bromopride,fentanyl,False,False,False,,-1,False,True,False,False
1278,carfentanil,fentanyl,carfentanil,False,True,,4,False,False,True,False
1279,dispenthyl,fentanyl,False,False,False,,-1,False,True,False,False
1280,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
1281,ketofentanyl,fentanyl,False,False,False,,-1,False,True,False,False
1282,tfentanil,fentanyl,False,False,False,,-1,False,True,False,False
1283,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
1284,fentinel,fentanyl,False,False,True,,1,True,True,True,True
1285,fentimans,fentanyl,False,False,False,,-1,False,True,False,False
1286,fentinil,fentanyl,False,False,True,,1,True,True,True,True
1287,fentinohm,fentanyl,False,False,False,,-1,False,True,False,False
1288,fentimill,fentanyl,False,False,False,,-1,False,True,False,False
1289,fentinorm,fentanyl,False,False,False,,-1,False,True,False,False
1290,fentimyn,fentanyl,False,False,False,,-1,False,True,False,False
1291,fentiphon,fentanyl,False,False,False,,-1,False,True,False,False
1292,fentolam,fentanyl,False,False,False,,-1,False,True,False,False
1293,fentolin,fentanyl,False,False,True,,1,False,True,True,True
1294,fentolox,fentanyl,False,False,False,,-1,False,True,False,False
1295,fentomid,fentanyl,False,False,False,,-1,False,True,False,False
1296,fentosan,fentanyl,False,False,False,,-1,False,True,False,False
1297,fentozep,fentanyl,False,False,False,,-1,False,True,False,False
1298,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
1299,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
1300,remifentanil,fentanyl,remifentanil,False,True,,1,False,False,True,False
1301,alfentanil,fentanyl,alfentanil,False,True,,1,False,False,True,False
1302,carfentanil,fentanyl,carfentanil,False,True,,4,False,False,True,False
1303,phyte,fentanyl,False,False,False,,-1,False,True,False,False
1304,phentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
1305,fenfentanyl,fentanyl,False,False,False,,-1,True,True,False,False
1306,fentanest,fentanyl,False,False,True,,1,True,True,True,True
1307,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
1308,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
1309,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
1310,dalmane,fentanyl,flurazepam,False,False,,-1,False,True,False,False
1311,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
1312,matrifen,fentanyl,False,False,True,,1,True,True,True,True
1313,neat,fentanyl,False,False,False,,-1,False,True,False,False
1314,tomudex,fentanyl,False,False,False,,-1,False,True,False,False
1315,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
1316,fentynal,fentanyl,fentanyl,True,True,,1,True,True,True,True
1317,fentanel,fentanyl,False,False,True,,1,True,True,True,True
1318,fentanyle,fentanyl,False,False,True,,1,True,True,True,True
1319,fentiona,fentanyl,False,False,False,,-1,False,True,False,False
1320,fentolomin,fentanyl,False,False,False,,-1,False,True,False,False
1321,fentotyn,fentanyl,False,False,False,,-1,False,True,False,False
1322,lentaryl,fentanyl,False,False,False,,-1,False,True,False,False
1323,concerta,fentanyl,methylphenidate,False,False,,-1,False,True,False,False
1324,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
1325,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
1326,fentanyl_hydrochloride,fentanyl,False,True,True,,1,True,True,True,True
1327,just_like_heroin,fentanyl,False,False,True,,9,False,True,True,True
1328,fentynol,fentanyl,False,False,True,,1,True,True,True,True
1329,fentanyl_citrate,fentanyl,fentanyl,True,True,,1,True,True,True,True
1330,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
1331,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
1332,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
1333,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
1334,effentora,fentanyl,False,False,True,,1,True,True,True,True
1335,lofentanil,fentanyl,lofentanil,False,True,,1,False,False,True,False
1336,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
1337,dalmane,fentanyl,flurazepam,False,False,,-1,False,True,False,False
1338,demerol,fentanyl,pethidine,False,False,,-1,False,True,False,False
1339,dilaudid,fentanyl,hydromorphone,False,False,,-1,False,True,False,False
1340,morphine,fentanyl,morphine,False,False,,-1,False,False,False,False
1341,matrix,fentanyl,False,False,False,,-1,False,True,False,False
1342,mylan,fentanyl,False,False,False,,-1,False,True,False,False
1343,oxycontin,fentanyl,oxycodone,False,False,,-1,False,True,False,False
1344,roxicet,fentanyl,oxycodone,False,False,,-1,False,True,False,False
1345,ultram,fentanyl,tramadol,False,True,,8,False,True,True,True
1346,vicodin,fentanyl,hydrocodone,False,False,,-1,False,True,False,False
1347,dilaudid,fentanyl,hydromorphone,False,False,,-1,False,True,False,False
1348,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
1349,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
1350,fentenol,fentanyl,False,False,True,,1,True,True,True,True
1351,fentynal,fentanyl,fentanyl,True,True,,1,True,True,True,True
1352,fentface,fentanyl,False,False,False,,-1,False,True,False,False
1353,fentwalk,fentanyl,False,False,True,,1,False,True,True,True
1354,fentpark,fentanyl,False,False,False,,-1,False,True,False,False
1355,fentmyle,fentanyl,False,False,False,,-1,False,True,False,False
1356,fentcare,fentanyl,False,False,False,,-1,False,True,False,False
1357,fentgate,fentanyl,False,False,False,,-1,False,True,False,False
1359,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
1360,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
1361,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
1362,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
