,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth,manual label
514,apo-alpraz,alprazolam,False,False,True,,1,True
515,azolam,alprazolam,acetazolamide,False,True,,6,True
516,calmax,alprazolam,verapamil,False,True, pill,12,False
517,elzepam,alprazolam,False,False,False,,-1,False
518,fexofenadine,alprazolam,fexofenadine,False,False,,-1,False
519,hubs,alprazolam,False,False,False,,-1,False
520,nozepam,alprazolam,False,False,False,,-1,False
521,ribotrex,alprazolam,False,False,False,,-1,False
522,trankimazin,alprazolam,False,False,True,,5,True
523,xanax,alprazolam,alprazolam,True,True,,1,True
524,zaponex,alprazolam,False,False,False,,-1,False
525,zaxopam,alprazolam,False,False,True,,19,False
526,zopax,alprazolam,False,False,True,,16,True
527,xanax,alprazolam,alprazolam,True,True,,1,True
528,azaleptic,alprazolam,False,False,False,,-1,False
529,azepine,alprazolam,False,False,False,,-1,False
530,xanax,alprazolam,alprazolam,True,True,,1,True
531,alpram,alprazolam,False,False,True,,2,True
532,alzolam,alprazolam,False,False,True,,5,True
533,ativan,alprazolam,lorazepam,False,False,,-1,False
534,alzam,alprazolam,False,False,True,,7,True
535,alpraz,alprazolam,False,False,True,,1,True
536,xanax,alprazolam,alprazolam,True,True,,1,True
537,xanax,alprazolam,alprazolam,True,True,,1,True
538,zoloft,alprazolam,sertraline,False,False,,-1,False
539,zoloft,alprazolam,sertraline,False,False,,-1,False
540,xanax,alprazolam,alprazolam,True,True,,1,True
541,ativan,alprazolam,lorazepam,False,False,,-1,False
542,zanax,alprazolam,alprazolam,True,True,,8,True
543,alprax,alprazolam,alprazolam,False,True,,3,True
544,alzolam,alprazolam,False,False,True,,5,True
545,jolleyD,alprazolam,False,False,False,,-1,False
546,xanax,alprazolam,alprazolam,True,True,,1,True
547,xanax,alprazolam,alprazolam,True,True,,1,True
548,zanex,alprazolam,False,False,True,,9,True
549,benzodiazepine,alprazolam,benzodiazepine,False,True,,4,?
550,serax,alprazolam,oxazepam,False,False,,-1,False
551,zanamivir,alprazolam,zanamivir,False,False,,-1,False
552,zaxapine,alprazolam,False,False,False,,-1,False
553,azaleas,alprazolam,False,False,False,,-1,False
554,aleazepam,alprazolam,False,False,False,,-1,False
555,alpram,alprazolam,False,False,True,,2,True
556,alprax,alprazolam,alprazolam,False,True,,3,True
557,alpraz,alprazolam,False,False,True,,1,True
558,arazolam,alprazolam,False,False,True,,3,False
559,zaxan,alprazolam,False,False,True,,20,True
560,alp,alprazolam,False,False,True, pill,1,True
561,alzam,alprazolam,False,False,True,,7,True
562,ipros,alprazolam,False,False,False,,-1,False
563,neu,alprazolam,False,False,False,,-1,False
564,kit,alprazolam,False,False,False,,-1,False
565,serenemood,alprazolam,False,False,False,,-1,False
566,zanax,alprazolam,alprazolam,True,True,,8,True
567,zoloft,alprazolam,sertraline,False,False,,-1,False
568,prozac,alprazolam,fluoxetine,False,False,,-1,False
569,xanFOB,alprazolam,False,False,False,,-1,False
570,alprazolem,alprazolam,alprazolam,True,True,,1,True
571,alprzolam,alprazolam,alprazolam,True,True,,3,True
572,Ralozam,alprazolam,False,False,True,,3,True
573,Alpazolam,alprazolam,alprazolam,True,True,,1,True
574,Alprozolam,alprazolam,alprazolam,True,True,,4,True
575,Alprazolamum,alprazolam,False,False,True,,4,True
576,frontin,alprazolam,False,False,True,,29,True
577,laritol,alprazolam,False,False,False,,-1,False
578,triazolam,alprazolam,triazolam,False,True, pill,11,False
579,flunitrazepam,alprazolam,flunitrazepam,False,False,,-1,False
580,oxazepam,alprazolam,oxazepam,False,False,,-1,False
581,alprazolam,alprazolam,alprazolam,True,True,,1,True
582,xana,alprazolam,False,False,True, pill,1,True
583,zanax,alprazolam,alprazolam,True,True,,8,True
584,xanax,alprazolam,alprazolam,True,True,,1,True
585,z-bars,alprazolam,False,False,True,,8,True
586,tafil,alprazolam,alprazolam,True,True,,1,True
587,tranax,alprazolam,filgrastim,False,True, pill,15,True
588,xanax,alprazolam,alprazolam,True,True,,1,True
589,zoloft,alprazolam,sertraline,False,False,,-1,False
590,ativan,alprazolam,lorazepam,False,False,,-1,False
591,klonopin,alprazolam,clonazepam,False,True,,14,False
592,valium,alprazolam,diazepam,False,True,,9,False
593,xanax,alprazolam,alprazolam,True,True,,1,True
594,alprazolan,alprazolam,alprazolam,True,True,,7,True
595,alazopram,alprazolam,False,False,True,,1,True
596,alprazoSlam,alprazolam,False,False,True, drug,1,False
597,otazepam,alprazolam,False,False,False,,-1,False
598,azanolam,alprazolam,False,False,False,,-1,False
599,zanx,alprazolam,False,False,True,,29,True
600,zolam,alprazolam,False,False,True,,2,True
601,alzolam,alprazolam,False,False,True,,5,True
602,alko,alprazolam,False,False,True, pill,3,True
603,zolast,alprazolam,False,False,True, pill,24,False
604,zoldac,alprazolam,False,False,True,,9,True
605,anzol,alprazolam,False,False,False,,-1,False
606,zoloft,alprazolam,sertraline,False,False,,-1,False
607,zanax,alprazolam,alprazolam,True,True,,8,True
608,zanex,alprazolam,False,False,True,,9,True
609,aprozalam,alprazolam,False,False,True,,2,True
610,alprzolam,alprazolam,alprazolam,True,True,,3,True
611,alprazlam,alprazolam,False,False,True,,3,True
612,zoloft,alprazolam,sertraline,False,False,,-1,False
613,paxil,alprazolam,paroxetine,False,False,,-1,False
614,prozac,alprazolam,fluoxetine,False,False,,-1,False
615,lexapro,alprazolam,escitalopram,False,False,,-1,False
616,valium,alprazolam,diazepam,False,True,,9,False
617,xanax,alprazolam,alprazolam,True,True,,1,True
618,alpraz,alprazolam,False,False,True,,1,True
619,alprazi,alprazolam,False,False,True,,3,False
620,alprazo,alprazolam,False,False,True,,1,True
621,alprozam,alprazolam,alprazolam,True,True,,8,True
622,alpronax,alprazolam,False,False,True,,1,True
623,xanax,alprazolam,alprazolam,True,True,,1,True
624,xanax,alprazolam,alprazolam,True,True,,1,True
625,xanax,alprazolam,alprazolam,True,True,,1,True
626,xanbars,alprazolam,False,False,True,,13,True
627,z-bars,alprazolam,False,False,True,,8,True
628,frontin,alprazolam,False,False,True,,29,True
629,ativan,alprazolam,lorazepam,False,False,,-1,False
630,zoloft,alprazolam,sertraline,False,False,,-1,False
631,arazolam,alprazolam,False,False,True,,3,False
632,aplrazolam,alprazolam,alprazolam,True,True,,1,True
633,ativan,alprazolam,lorazepam,False,False,,-1,False
634,zolam,alprazolam,False,False,True,,2,True
635,ativan,alprazolam,lorazepam,False,False,,-1,False
636,zoloft,alprazolam,sertraline,False,False,,-1,False
637,alprazols,alprazolam,False,False,True, pill,6,False
638,zanax,alprazolam,alprazolam,True,True,,8,True
639,aaxolam,alprazolam,False,False,False,,-1,False
640,zanapam,alprazolam,False,False,True,,8,True
641,zolam,alprazolam,False,False,True,,2,True
642,zoldac,alprazolam,False,False,True,,9,True
643,zepam,alprazolam,False,False,True, pill,28,False
644,zactin,alprazolam,fentanyl,False,False,,-1,False
645,zoloft,alprazolam,sertraline,False,False,,-1,False
646,alprazorem,alprazolam,False,False,True,,1,False
647,xynax,alprazolam,False,False,True,,1,False
648,azxoles,alprazolam,False,False,False,,-1,False
649,z-_drugs,alprazolam,False,False,False,,-1,False
650,tranquilizers,alprazolam,False,False,True,,4,?
651,zanax,alprazolam,alprazolam,True,True,,8,True
652,zolofts,alprazolam,sertraline,False,False,,-1,False
653,serenata,alprazolam,False,False,False,,-1,False
654,alprax,alprazolam,alprazolam,False,True,,3,True
655,alazor,alprazolam,False,False,False,,-1,False
656,zolam,alprazolam,False,False,True,,2,True
657,zoldac,alprazolam,False,False,True,,9,True
658,zolarex,alprazolam,False,False,False,,-1,False
659,alpram,alprazolam,False,False,True,,2,True
660,zanapam,alprazolam,False,False,True,,8,True
661,zoldac,alprazolam,False,False,True,,9,True
662,alzolam,alprazolam,False,False,True,,5,True
663,alzepezam,alprazolam,False,False,False,,-1,False
664,anxutop,alprazolam,False,False,False,,-1,False
665,calmpose,alprazolam,False,False,True,,29,False
666,iproxinol,alprazolam,False,False,False,,-1,False
667,azor,alprazolam,olmesartan,False,False,,-1,False
668,zopax,alprazolam,False,False,True,,16,True
669,xanaxx,alprazolam,False,False,True,,1,True
670,alprazalom,alprazolam,alprazolam,True,True,,1,True
671,Alprazolan,alprazolam,alprazolam,True,True,,7,True
672,Alprax,alprazolam,alprazolam,False,True,,3,True
673,Alza,alprazolam,methylphenidate,False,False,,-1,False
674,Xanax,alprazolam,alprazolam,True,True,,1,True
675,ativan,alprazolam,lorazepam,False,False,,-1,False
676,seresto,alprazolam,False,False,False,,-1,False
677,tranquinal,alprazolam,False,False,True,,7,True
678,calma,alprazolam,False,False,False,,-1,False
679,ativan,alprazolam,lorazepam,False,False,,-1,False
680,seresto,alprazolam,False,False,False,,-1,False
681,xanax,alprazolam,alprazolam,True,True,,1,True
682,zoloft,alprazolam,sertraline,False,False,,-1,False
683,prozac,alprazolam,fluoxetine,False,False,,-1,False
684,lexapro,alprazolam,escitalopram,False,False,,-1,False
685,Elavil,alprazolam,amitriptyline,False,False,,-1,False
686,lorazepam,alprazolam,lorazepam,False,False,,-1,False
687,ativan,alprazolam,lorazepam,False,False,,-1,False
688,klonopin,alprazolam,clonazepam,False,True,,14,False
689,alprozolam,alprazolam,alprazolam,True,True,,4,True
690,a-pam,alprazolam,False,False,True, pill,27,False
691,Alpraz,alprazolam,False,False,True,,1,True
692,zanax,alprazolam,alprazolam,True,True,,8,True
693,ativan,alprazolam,lorazepam,False,False,,-1,False
694,zaps,alprazolam,False,False,False,,-1,False
695,alpraz,alprazolam,False,False,True,,1,True
696,napazolam,alprazolam,False,False,True,,1,False
697,zolam,alprazolam,False,False,True,,2,True
698,xanoram,alprazolam,False,False,True,,4,True
699,zolam,alprazolam,False,False,True,,2,True
700,zanapam,alprazolam,False,False,True,,8,True
701,alpam,alprazolam,False,False,False,,-1,True
702,anxiolitic,alprazolam,False,False,True, slang,6,?
703,zanax,alprazolam,alprazolam,True,True,,8,True
704,zans,alprazolam,False,False,True, pill,15,True
705,alprazorem,alprazolam,False,False,True,,1,False
706,alprazonam,alprazolam,False,False,True, pill,2,True
707,alpraz,alprazolam,False,False,True,,1,True
708,alrazolam,alprazolam,alprazolam,True,True,,6,True
709,alpram,alprazolam,False,False,True,,2,True
710,aloprazolam,alprazolam,alprazolam,True,True,,2,True
711,alprasolam,alprazolam,False,False,True,,5,True
712,ariprazolam,alprazolam,False,False,False,,-1,False
713,ativan,alprazolam,lorazepam,False,False,,-1,False
714,xanax,alprazolam,alprazolam,True,True,,1,True
715,alfrazolam,alprazolam,False,False,True,,2,True
716,alpredolam,alprazolam,False,False,False,,-1,False
717,triaz,alprazolam,salmeterol,False,False,,-1,False
718,ativan,alprazolam,lorazepam,False,False,,-1,False
719,aplrazolam,alprazolam,alprazolam,True,True,,1,True
720,xanax,alprazolam,alprazolam,True,True,,1,True
721,alpraz,alprazolam,False,False,True,,1,True
722,zolam,alprazolam,False,False,True,,2,True
723,alprazolym,alprazolam,False,False,False,,-1,False
724,xanaxx,alprazolam,False,False,True,,1,True
725,xanaxs,alprazolam,alprazolam,True,True,,9,True
726,hexyzolam,alprazolam,False,False,False,,-1,False
727,nexiclon,alprazolam,clonidine,False,False,,-1,False
728,prazolam,alprazolam,alprazolam,True,True,,4,True
729,quazepam,alprazolam,quazepam,False,True, slang,4,False
730,tranxene,alprazolam,clorazepate,False,True, pill,28,False
731,zanex,alprazolam,False,False,True,,9,True
732,alprazorem,alprazolam,False,False,True,,1,False
733,alprazepam,alprazolam,False,False,True,,4,True
734,prazosin,alprazolam,prazosin,False,False,,-1,False
735,serax,alprazolam,oxazepam,False,False,,-1,False
736,ativan,alprazolam,lorazepam,False,False,,-1,False
737,klonopin,alprazolam,clonazepam,False,True,,14,False
738,valium,alprazolam,diazepam,False,True,,9,False
739,xanax,alprazolam,alprazolam,True,True,,1,True
740,zoloft,alprazolam,sertraline,False,False,,-1,False
741,ativan,alprazolam,lorazepam,False,False,,-1,False
742,alprozolam,alprazolam,alprazolam,True,True,,4,True
743,aripiprazole,alprazolam,aripiprazole,False,False,,-1,False
744,xanor,alprazolam,alprazolam,True,True,,2,True
745,arazolam,alprazolam,False,False,True,,3,False
746,xanax,alprazolam,alprazolam,True,True,,1,True
747,zanex,alprazolam,False,False,True,,9,True
748,alprozalam,alprazolam,alprazolam,True,True,,1,True
749,alfrazolam,alprazolam,False,False,True,,2,True
750,alpraazolam,alprazolam,False,False,True,,3,True
751,alp,alprazolam,False,False,True, pill,1,True
752,azolam,alprazolam,acetazolamide,False,True,,6,True
753,alrazolam,alprazolam,alprazolam,True,True,,6,True
754,alpram,alprazolam,False,False,True,,2,True
755,aloprazolam,alprazolam,alprazolam,True,True,,2,True
756,anazolam,alprazolam,False,False,True,,8,False
757,alprazlavam,alprazolam,False,False,False,,-1,False
758,azolam,alprazolam,acetazolamide,False,True,,6,True
759,tranquilizers,alprazolam,False,False,True,,4,?
760,xanex,alprazolam,alprazolam,True,True,,26,True
761,anzx,alprazolam,False,False,False,,-1,False
762,zanex,alprazolam,False,False,True,,9,True
763,z-bars,alprazolam,False,False,True,,8,True
764,zoloft,alprazolam,sertraline,False,False,,-1,False
765,xanax,alprazolam,alprazolam,True,True,,1,True
766,zanax,alprazolam,alprazolam,True,True,,8,True
767,alprozolam,alprazolam,alprazolam,True,True,,4,True
768,alprazolane,alprazolam,False,False,True,,11,False
769,Alpraz,alprazolam,False,False,True,,1,True
770,Alprazolan,alprazolam,alprazolam,True,True,,7,True
771,Alprazolamum,alprazolam,False,False,True,,4,True
772,Alprazolans,alprazolam,False,False,True,,2,True
773,Alprazolamx,alprazolam,False,False,True,,1,False
774,Alp,alprazolam,False,False,True, pill,1,True
775,zanax,alprazolam,alprazolam,True,True,,8,True
776,alprazoloms,alprazolam,False,False,True, pill,1,True
777,zanex,alprazolam,False,False,True,,9,True
778,alprozalam,alprazolam,alprazolam,True,True,,1,True
779,Tranxene,alprazolam,clorazepate,False,True, pill,28,False
780,Paroxetine,alprazolam,paroxetine,False,False,,-1,False
781,Fluoxetine,alprazolam,fluoxetine,False,False,,-1,False
782,Sertraline,alprazolam,sertraline,False,True, pill,29,False
783,Escitalopram,alprazolam,escitalopram,False,False,,-1,False
784,alprazolan,alprazolam,alprazolam,True,True,,7,True
785,alprazolom,alprazolam,alprazolam,True,True,,6,True
786,zanax,alprazolam,alprazolam,True,True,,8,True
787,serenaid,alprazolam,False,False,False,,-1,False
788,tranquilar,alprazolam,False,False,False,,-1,False
789,zoldac,alprazolam,False,False,True,,9,True
790,alzolam,alprazolam,False,False,True,,5,True
791,ativan,alprazolam,lorazepam,False,False,,-1,False
792,xanax,alprazolam,alprazolam,True,True,,1,True
793,arazolam,alprazolam,False,False,True,,3,False
794,alpram,alprazolam,False,False,True,,2,True
795,alpron,alprazolam,False,False,True, pill,10,True
796,alprasolam,alprazolam,False,False,True,,5,True
797,alpraz,alprazolam,False,False,True,,1,True
798,alprazolan,alprazolam,alprazolam,True,True,,7,True
799,Alprazolam,alprazolam,alprazolam,True,True,,1,True
800,z-bars,alprazolam,False,False,True,,8,True
801,ativan,alprazolam,lorazepam,False,False,,-1,False
802,xaxan,alprazolam,benfluorex,False,True,,11,True
803,xxxxx,alprazolam,False,False,False,,-1,False
804,xanor,alprazolam,alprazolam,True,True,,2,True
805,etizolam,alprazolam,etizolam,False,True,,26,False
806,zolpidem,alprazolam,zolpidem,False,False,,-1,False
807,eszopiclone,alprazolam,eszopiclone,False,False,,-1,False
808,zaleplon,alprazolam,zaleplon,False,False,,-1,False
809,quazepam,alprazolam,quazepam,False,True, slang,4,False
810,flurazepam,alprazolam,flurazepam,False,False,,-1,False
811,temazepam,alprazolam,temazepam,False,True, pill,16,False
812,zanamivir,alprazolam,zanamivir,False,False,,-1,False
813,ativan,alprazolam,lorazepam,False,False,,-1,False
814,klonopin,alprazolam,clonazepam,False,True,,14,False
815,valium,alprazolam,diazepam,False,True,,9,False
816,xanax,alprazolam,alprazolam,True,True,,1,True
817,xanor,alprazolam,alprazolam,True,True,,2,True
818,zoloft,alprazolam,sertraline,False,False,,-1,False
819,ativan,alprazolam,lorazepam,False,False,,-1,False
820,klonopin,alprazolam,clonazepam,False,True,,14,False
821,valium,alprazolam,diazepam,False,True,,9,False
822,restoril,alprazolam,temazepam,False,True, pill,15,False
823,librium,alprazolam,chlordiazepoxide,False,True,,23,False
824,alprazolam,alprazolam,alprazolam,True,True,,1,True
825,azoram,alprazolam,False,False,False,,-1,False
826,alprazalam,alprazolam,alprazolam,True,True,,1,True
827,alprazom,alprazolam,False,False,True,,1,True
828,alpram,alprazolam,False,False,True,,2,True
829,alprazolan,alprazolam,alprazolam,True,True,,7,True
830,alprazolamina,alprazolam,False,False,True,,1,False
831,alprazolamma,alprazolam,False,False,True,,2,False
832,xana,alprazolam,False,False,True, pill,1,True
833,seagan,alprazolam,False,False,False,,-1,False
834,trankimazin,alprazolam,False,False,True,,5,True
835,trika,alprazolam,False,False,True, pill,17,True
836,xanax,alprazolam,alprazolam,True,True,,1,True
837,alprazolan,alprazolam,alprazolam,True,True,,7,True
838,alprazolane,alprazolam,False,False,True,,11,False
839,zanapam,alprazolam,False,False,True,,8,True
840,alprazolan,alprazolam,alprazolam,True,True,,7,True
841,alprazolane,alprazolam,False,False,True,,11,False
842,alprazolamum,alprazolam,False,False,True,,4,True
843,alprazolans,alprazolam,False,False,True,,2,True
844,alprazolamide,alprazolam,False,False,True,,1,False
845,alprazolams,alprazolam,alprazolam,True,True,,1,True
846,arazolam,alprazolam,False,False,True,,3,False
847,anax,alprazolam,False,False,True, pill,1,True
848,arrazolam,alprazolam,False,False,True, pill,8,False
849,alprozolam,alprazolam,alprazolam,True,True,,4,True
850,alprzolam,alprazolam,alprazolam,True,True,,3,True
851,xanor,alprazolam,alprazolam,True,True,,2,True
852,xanarch,alprazolam,False,False,False,,-1,False
853,ativan,alprazolam,lorazepam,False,False,,-1,False
854,alzolam,alprazolam,False,False,True,,5,True
855,prazosin,alprazolam,prazosin,False,False,,-1,False
856,alprazalam,alprazolam,alprazolam,True,True,,1,True
857,zoloft,alprazolam,sertraline,False,False,,-1,False
858,ativan,alprazolam,lorazepam,False,False,,-1,False
859,klonopin,alprazolam,clonazepam,False,True,,14,False
860,valium,alprazolam,diazepam,False,True,,9,False
861,etizolam,alprazolam,etizolam,False,True,,26,False
862,clonazepam,alprazolam,clonazepam,False,True,,21,False
863,xnax,alprazolam,False,False,True,,22,True
864,arprazolam,alprazolam,False,False,True,,6,True
865,azalean,alprazolam,False,False,False,,-1,False
866,bromazepam,alprazolam,bromazepam,False,True,,24,False
867,camazepam,alprazolam,False,False,True,,27,False
868,clotiazepam,alprazolam,clotiazepam,False,False,,-1,False
869,diazepam,alprazolam,diazepam,False,True, drug,6,False
870,estazolam,alprazolam,estazolam,False,False,,-1,False
871,flurazepam,alprazolam,flurazepam,False,False,,-1,False
872,lorazepam,alprazolam,lorazepam,False,False,,-1,False
873,medazepam,alprazolam,temazepam,False,True, slang,23,False
874,midazolam,alprazolam,midazolam,False,True, slang,15,False
875,niravam,alprazolam,alprazolam,True,True,,2,True
876,oxazepam,alprazolam,oxazepam,False,False,,-1,False
877,prazepam,alprazolam,prazepam,False,True,,17,False
878,quazepam,alprazolam,quazepam,False,True, slang,4,False
879,temazepam,alprazolam,temazepam,False,True, pill,16,False
880,triazolam,alprazolam,triazolam,False,True, pill,11,False
881,zepam,alprazolam,False,False,True, pill,28,False
882,alazopram,alprazolam,False,False,True,,1,True
883,alprozolam,alprazolam,alprazolam,True,True,,4,True
884,ariprazolam,alprazolam,False,False,False,,-1,False
885,locaprazolam,alprazolam,False,False,False,,-1,False
886,dalazolam,alprazolam,False,False,False,,-1,False
887,zolpidem,alprazolam,zolpidem,False,False,,-1,False
888,xanor,alprazolam,alprazolam,True,True,,2,True
889,Niravam,alprazolam,alprazolam,True,True,,2,True
890,xanax,alprazolam,alprazolam,True,True,,1,True
891,xanor,alprazolam,alprazolam,True,True,,2,True
892,alzam,alprazolam,False,False,True,,7,True
893,frontin,alprazolam,False,False,True,,29,True
894,noctamid,alprazolam,False,False,False,,-1,False
895,calm_aprazolam,alprazolam,False,True,True,,1,False
896,prazosin,alprazolam,prazosin,False,False,,-1,False
897,serenty,alprazolam,False,False,False,,-1,False
898,xanor,alprazolam,alprazolam,True,True,,2,True
899,zolam,alprazolam,False,False,True,,2,True
900,zopax,alprazolam,False,False,True,,16,True
901,tranax,alprazolam,filgrastim,False,True, pill,15,True
902,xanor,alprazolam,alprazolam,True,True,,2,True
903,zolam,alprazolam,False,False,True,,2,True
904,alprazolum,alprazolam,False,False,True,,3,True
905,alpram,alprazolam,False,False,True,,2,True
906,alprastad,alprazolam,False,False,True,,10,True
907,calmapam,alprazolam,False,False,False,,-1,False
908,eloprazolam,alprazolam,False,False,False,,-1,False
909,halazepam,alprazolam,halazepam,False,True, pill,9,False
910,nefazodone,alprazolam,nefazodone,False,False,,-1,False
911,opipramol,alprazolam,opipramol,False,False,,-1,False
912,zolam,alprazolam,False,False,True,,2,True
913,ativan,alprazolam,lorazepam,False,False,,-1,False
914,klonopin,alprazolam,clonazepam,False,True,,14,False
915,valium,alprazolam,diazepam,False,True,,9,False
916,xanor,alprazolam,alprazolam,True,True,,2,True
917,iproniazid,alprazolam,iproniazid,False,False,,-1,False
918,librium,alprazolam,chlordiazepoxide,False,True,,23,False
919,zanex,alprazolam,False,False,True,,9,True
920,alzapam,alprazolam,False,False,True,,2,False
921,alpam,alprazolam,False,False,False,,-1,True
922,alprazolan,alprazolam,alprazolam,True,True,,7,True
923,alprsam,alprazolam,False,False,False,,-1,False
924,alprazolsm,alprazolam,False,False,True,,2,False
925,alazopam,alprazolam,False,False,True,,1,True
926,alpram,alprazolam,False,False,True,,2,True
927,zanax,alprazolam,alprazolam,True,True,,8,True
928,ativan,alprazolam,lorazepam,False,False,,-1,False
929,zoloft,alprazolam,sertraline,False,False,,-1,False
930,paxil,alprazolam,paroxetine,False,False,,-1,False
931,prozac,alprazolam,fluoxetine,False,False,,-1,False
932,lexapro,alprazolam,escitalopram,False,False,,-1,False
933,klonopin,alprazolam,clonazepam,False,True,,14,False
934,valium,alprazolam,diazepam,False,True,,9,False
935,zanies,alprazolam,False,False,True, pill,2,True
936,downers,alprazolam,False,False,False,,-1,?
937,ativan,alprazolam,lorazepam,False,False,,-1,False
938,zanex,alprazolam,False,False,True,,9,True
939,alprozalam,alprazolam,alprazolam,True,True,,1,True
940,alprazimer,alprazolam,False,False,False,,-1,False
941,alprazerval,alprazolam,False,False,False,,-1,False
942,Alprazoglen,alprazolam,False,False,False,,-1,False
943,Alprazolet,alprazolam,False,False,True, pill,1,False
944,Alprazon,alprazolam,False,False,True,,1,False
945,Alprazosin,alprazolam,False,False,True, drug,25,False
946,xanax,alprazolam,alprazolam,True,True,,1,True
947,alprodone,alprazolam,False,False,False,,-1,False
948,alprox,alprazolam,False,False,True,,2,True
949,alpromycin,alprazolam,False,False,False,,-1,False
950,alprazobook,alprazolam,False,False,False,,-1,False
951,alprazon,alprazolam,False,False,True,,1,False
952,alprazoLOG,alprazolam,False,False,False,,-1,False
953,alprazoGAME,alprazolam,False,False,False,,-1,False
954,alprazoCAT,alprazolam,False,False,False,,-1,False
955,alpraz,alprazolam,False,False,True,,1,True
956,alprazolame,alprazolam,False,False,True,,2,False
957,alprazolamum,alprazolam,False,False,True,,4,True
958,alzolam,alprazolam,False,False,True,,5,True
959,xanax,alprazolam,alprazolam,True,True,,1,True
960,alprazolamum,alprazolam,False,False,True,,4,True
961,alzolam,alprazolam,False,False,True,,5,True
962,alpronax,alprazolam,False,False,True,,1,True
963,antaxone,alprazolam,False,False,False,,-1,False
964,anzol,alprazolam,False,False,False,,-1,False
965,apo-alpraz,alprazolam,False,False,True,,1,True
966,aprazon,alprazolam,False,False,True,,8,False
967,atarax,alprazolam,hydroxyzine,False,True, pill,6,False
968,zanax,alprazolam,alprazolam,True,True,,8,True
969,axcion,alprazolam,False,False,False,,-1,False
970,xanor,alprazolam,alprazolam,True,True,,2,True
971,zanapam,alprazolam,False,False,True,,8,True
972,eszopiclone,alprazolam,eszopiclone,False,False,,-1,False
973,lorazepam,alprazolam,lorazepam,False,False,,-1,False
974,clonazepam,alprazolam,clonazepam,False,True,,21,False
975,diazepam,alprazolam,diazepam,False,True, drug,6,False
976,alfunc,alprazolam,False,False,False,,-1,False
977,flumazenil,alprazolam,flumazenil,False,False,,-1,False
978,taful,alprazolam,False,False,False,,-1,False
979,xanax,alprazolam,alprazolam,True,True,,1,True
980,hezolam,alprazolam,False,False,False,,-1,False
981,zolax,alprazolam,False,False,True,,23,True
982,calmpam,alprazolam,False,False,False,,-1,False
983,diazepam,alprazolam,diazepam,False,True, drug,6,False
984,xanax,alprazolam,alprazolam,True,True,,1,True
985,alaprazolam,alprazolam,False,False,True,,4,True
986,alprazlam,alprazolam,False,False,True,,3,True
987,alprozolam,alprazolam,alprazolam,True,True,,4,True
988,alfrazolam,alprazolam,False,False,True,,2,True
989,alprazolan,alprazolam,alprazolam,True,True,,7,True
990,alprazom,alprazolam,False,False,True,,1,True
991,alprazlam,alprazolam,False,False,True,,3,True
992,zanex,alprazolam,False,False,True,,9,True
993,xanax,alprazolam,alprazolam,True,True,,1,True
994,zanax,alprazolam,alprazolam,True,True,,8,True
995,alprazozam,alprazolam,False,False,True,,1,True
996,alprazoloma,alprazolam,False,False,False,,-1,False
997,alprazoram,alprazolam,False,False,True,,1,True
998,azoram,alprazolam,False,False,False,,-1,False
999,calmpam,alprazolam,False,False,False,,-1,False
1000,alpam,alprazolam,False,False,False,,-1,True
1001,alprolax,alprazolam,False,False,True,,7,True
1002,alprazolan,alprazolam,alprazolam,True,True,,7,True
1003,alprazolom,alprazolam,alprazolam,True,True,,6,True
1004,alpraz,alprazolam,False,False,True,,1,True
1005,alpra,alprazolam,estradiol,False,True,,1,True
1006,Xanax,alprazolam,alprazolam,True,True,,1,True
1007,Sturimge,alprazolam,False,False,False,,-1,False
1008,Xanax,alprazolam,alprazolam,True,True,,1,True
1009,aplrazolam,alprazolam,alprazolam,True,True,,1,True
1010,xanbars,alprazolam,False,False,True,,13,True
1011,a-pcs,alprazolam,False,False,False,,-1,False
1012,irazem,alprazolam,False,False,True, pill,18,False
1013,neupax,alprazolam,False,False,True,,3,True
1014,casanovas,alprazolam,False,False,False,,-1,False
1015,alpraz,alprazolam,False,False,True,,1,True
1016,tranquinal,alprazolam,False,False,True,,7,True
1017,xanax,alprazolam,alprazolam,True,True,,1,True
1018,alprazalam,alprazolam,alprazolam,True,True,,1,True
1019,alprazolim,alprazolam,False,False,True,,2,True
1020,alprazolom,alprazolam,alprazolam,True,True,,6,True
1021,alprozalolam,alprazolam,False,False,False,,-1,False
1022,alprozalam,alprazolam,alprazolam,True,True,,1,True
1023,azepam,alprazolam,oxazepam,False,True, drug,16,False
1024,benzodiazepam,alprazolam,False,False,True,,24,?
1025,zap_Pax,alprazolam,False,False,False,,-1,False
1026,alzap_hobbyists,alprazolam,False,False,False,,-1,False
1027,paxum,alprazolam,False,False,False,,-1,False
1028,alprazo,alprazolam,False,False,True,,1,True
1029,alpraz,alprazolam,False,False,True,,1,True
1030,xanax,alprazolam,alprazolam,True,True,,1,True
1031,zanex,alprazolam,False,False,True,,9,True
1032,alpzolam,alprazolam,False,False,True,,1,True
1033,alprzalam,alprazolam,False,False,True,,1,True
1034,alprazalan,alprazolam,False,False,True,,1,True
1035,alprazolson,alprazolam,False,False,False,,-1,False
1036,alprazolum,alprazolam,False,False,True,,3,True
1037,xanbars,alprazolam,False,False,True,,13,True
1038,alpazolam,alprazolam,alprazolam,True,True,,1,True
